,college_name,tcs_region
2032,Valliammai Engineering College - Anna University,Chennai
2034,GITAM College of Engineering,Hyderabad
2047,"St.Josephs College of Engg,Chennai",Chennai
2061,"L B S Coll of Engg, Kasargod, Kannur Uni",Trivandrum
2078,Indraprastha University,Delhi
2090,"SRMS College of Engg. & Tech., Unnao",Lucknow
2094,SHRI RAM MURTI SMARAK WOMENS COLLEGE OF ENGINEERING & TECHNOLOGY - BAREILLY,Lucknow
2095,Sri Venkateswara College of Engg.-Madras,Chennai
2100,"Inderprastha Engineering College, Ghaziabad",Delhi
2127,ST.JOSEPH'S COLLEGE - KERALA,Trivandrum
2149,Institute of Aeronautical Engineering,Hyderabad
2157,"KC College of Engineering, Thane",Mumbai
2161,"Vishwakarma Inst of Tech, Pune",Pune
2172,SILICON INSTITUTE OF TECHNOLOGY SAMBALPUR,Kolkata
2178,chameli devi group of institutions,Mumbai
2187,Piet,Delhi
2190,CGPIT maliba campus bardoli,Ahmedabad
2193,NBNSSOE,Pune
2199,"GLA UNIVERSITY, MATHURA",Delhi
2214,Saranathan College of Engineering,Chennai
2215,IEC College of Engineering and Technology,Delhi
2229,sri shakthi institute of engineering and technology coimbatore,Chennai
2241,Dronacharya Group of Institutions greater Noida,Delhi
2242,"Shri Vishnu Engineering College for Women, Vishnupur",Hyderabad
2246,sagar institute of science and techanology,Mumbai
2261,MEDICAPS INSTITUE OF SCIENCE AND TECHNOLOGY,Mumbai
2288,"Bansal Inst. of Science & Tech., Bhopal",Mumbai
2344,Christ College Of Engineering And Technology,Chennai
2359,marwadi education foundation group of institution,Ahmedabad
2364,Mallabhum Insitute of Technology. Bankura,Kolkata
2365,"New Horizon College of Engineering, Bangalore",Bangalore
2391,"Govt. College of Engineering & Technology, Jammu University",Delhi
2393,"All India Shri Shivaji Memorial Society' S COE, Pune",Pune
2395,RGUKT - NUZVID,Hyderabad
2412,gandhinagar institute of technology,Ahmedabad
2425,"Harcourt Butler Technological Institute, Kanpur",Lucknow
2451,B H GARDI COLLEGE OF ENGINEERING AND TECHNOLOGY,Ahmedabad
2468,Banaras Hindu University,Lucknow
2470,"LN Mittal Institute of Information Technology, Jaipur",Delhi
2481,HOOGHLY ENGINEERING & TECHNOLOGY COLLEGE - WEST BENGAL,Kolkata
2503,IDEAL INSTITUTE OF TECHNOLOGY GHAZIABAD,Delhi
2506,Keshav Memorial Institute Of Technology,Hyderabad
2512,Gandhinagar Institute of Technology,Ahmedabad
2532,"University College of Engineering, Trivandrum",Trivandrum
2547,NIT - Kurukshetra,Delhi
2550,NITTE Meenakshi Institute of Technology,Bangalore
2556,K S R Institute For Engineering and Technology,Chennai
2559,Chameli devi group of institution indore,Mumbai
2561,"Amity University, Noida",Delhi
2571,NIT - Rourkela,Kolkata
2575,Babu Banarasi Das Northern India Institute of Technology,Lucknow
2577,Pillai HOC College of Engineering & Technology,Mumbai
2603,Bapu INstitute of TechnologyGandhinagar,Ahmedabad
2629,PDM College of Engineering Badurgarh,Delhi
2636,"Malaviya Reg Engineering College, Jaipur",Delhi
2644,Pranveer Singh Institute Of Technology Kanpur,Lucknow
2652,Pondicherry Engr College,Chennai
2659,Sri Dharmasthala Manjunatheswara College,Bangalore
2713,Symbiosis Institute of Technology,Pune
2761,"Kongu Engg. College,Erode",Chennai
2766,Chandigarh University Gharuan,Delhi
2785,Government Engineering CollegeRajkot,Ahmedabad
2795,sree buddha college of engineering pattoor,Trivandrum
2808,"B.M.S. COE, Bangalore",Bangalore
